"prompt_id","task_type","language","text"
"4","summarization","DE","Fasse den folgenden Absatz in einem Satz zusammen: „Remote-Arbeit kann die Flexibilität erhöhen und Pendelzeiten reduzieren, was das Wohlbefinden mancher Beschäftigter verbessern kann. Gleichzeitig kann sie informelle Zusammenarbeit verringern und das Onboarding neuer Teammitglieder erschweren. Kommunikation wird häufig stärker geplant und dokumentationslastiger, wodurch sich die Zusammenarbeit verändert. Klare Grenzen und Hybrid-Regelungen können helfen, Burnout zu vermeiden und die Produktivität zu sichern."""
"4","summarization","TR","Aşağıdaki paragrafı tek cümlede özetle: ""Uzaktan çalışma esnekliği artırabilir ve işe gidiş geliş süresini azaltarak bazı çalışanların iyi oluşunu destekleyebilir. Ancak gayriresmi iş birliğini azaltabilir ve yeni ekip üyelerinin işe uyumunu zorlaştırabilir. İletişim daha planlı ve dokümantasyon ağırlıklı hale gelir, bu da ekiplerin koordinasyon biçimini değiştirir. Net sınırlar ve hibrit politikalar, tükenmişliği önleyip verimliliği korumaya yardımcı olabilir."""
"5","classification","EN","Label the sentiment as Positive or Negative: ""After a week of use, the phone overheats during video calls, the battery drops from 100% to 20% by afternoon, and the screen shows random flickering. I regret buying it."""
"5","classification","DE","Ordne die Stimmung als Positiv oder Negativ ein: „Nach einer Woche Nutzung wird das Handy bei Videoanrufen sehr heiß, der Akku fällt bis zum Nachmittag von 100% auf 20%, und der Bildschirm flackert zufällig. Ich bereue den Kauf."""
"5","classification","TR","Duyguyu Olumlu veya Olumsuz olarak etiketle: ""Bir haftalık kullanımın ardından telefon görüntülü aramalarda aşırı ısınıyor, pil öğleden sonra 100%'den 20%'ye düşüyor ve ekran rastgele titriyor. Aldığıma pişmanım."""
"6","classification","EN","Decide if the response indicates agreement or disagreement. Output only Agree or Disagree: Statement: ""Public transport should be expanded to reduce traffic."" Response: ""I see your point, but I don't think it would solve congestion in this city."""
"6","classification","DE","Entscheide, ob die Antwort Zustimmung oder Ablehnung ausdrückt. Gib nur Agree oder Disagree aus: Aussage: „Der öffentliche Nahverkehr sollte ausgebaut werden, um den Verkehr zu reduzieren."" Antwort: „Ich verstehe deinen Punkt, aber ich glaube nicht, dass das hier die Staus wirklich löst."""
"6","classification","TR","Yanıtın katılım mı karşı çıkma mı olduğunu belirle. Sadece Agree veya Disagree yaz: İfade: ""Trafiği azaltmak için toplu taşıma genişletilmeli."" Yanıt: ""Söylediğini anlıyorum ama bunun bu şehirde sıkışıklığı çözeceğini düşünmüyorum."""
"7","classification","EN","Classify the primary intent as Request or Complaint. Output only Request or Complaint: ""My order arrived with a cracked screen protector and missing accessories. This is unacceptable. Please issue a refund or send a replacement."""
"7","classification","DE","Ordne die Hauptabsicht als Request oder Complaint ein. Gib nur Request oder Complaint aus: „Meine Bestellung kam mit einem gesprungenen Displayschutz und fehlendem Zubehör an. Das ist inakzeptabel. Bitte erstatten Sie den Betrag oder senden Sie einen Ersatz."""
"7","classification","TR","Ana niyeti Request veya Complaint olarak sınıflandır. Sadece Request veya Complaint yaz: ""Siparişim ekran koruyucusu çatlak ve aksesuarları eksik şekilde geldi. Bu kabul edilemez. Lütfen para iadesi yapın veya yenisini gönderin."""
"8","classification","EN","Label the message as Formal or Informal. Output only Formal or Informal: ""Hi Alex, could you send me the updated document when you have a moment? Thanks!"""
"8","classification","DE","Markiere die Nachricht als Formal oder Informal. Gib nur Formal oder Informal aus: „Hi Alex, könntest du mir das aktualisierte Dokument schicken, wenn du kurz Zeit hast? Danke!"""
"8","classification","TR","Mesajı Formal veya Informal olarak etiketle. Sadece Formal veya Informal yaz: ""Selam Alex, müsait olduğunda güncellenmiş dokümanı bana gönderebilir misin? Teşekkürler!"""
"9","reasoning","EN","If A is taller than B and B is taller than C, who is the tallest? Output only A, B, or C."
"9","reasoning","DE","Wenn A größer als B und B größer als C ist, wer ist am größten? Gib nur A, B oder C aus."
"9","reasoning","TR","A, B'den ve B de C'den uzunsa, en uzun kimdir? Sadece A, B veya C yaz."
"10","reasoning","EN","A car travels 90 kilometers in 1.5 hours. What is its average speed? Output only the final value in km/h."
"10","reasoning","DE","Ein Auto fährt 90 Kilometer in 1,5 Stunden. Wie hoch ist die Durchschnittsgeschwindigkeit? Gib nur den Endwert in km/h aus."
"10","reasoning","TR","Bir araba 1,5 saatte 90 kilometre gidiyor. Ortalama hızı nedir? Sadece km/h cinsinden nihai değeri yaz."
"11","reasoning","EN","A meeting started at 9:15 and ended at 10:45. How many minutes did it last? Output only the number of minutes."
"11","reasoning","DE","Ein Meeting begann um 9:15 und endete um 10:45. Wie viele Minuten dauerte es? Gib nur die Minutenanzahl aus."
"11","reasoning","TR","Toplantı 9:15'te başlayıp 10:45'te bitti. Kaç dakika sürdü? Sadece dakika sayısını yaz."
"12","reasoning","EN","It is 2°C and raining. Which option is most appropriate to wear? A) T-shirt and sandals B) Warm waterproof jacket and closed shoes C) Shorts and sunglasses. Output only A, B, or C."
"12","reasoning","DE","Es sind 2°C und es regnet. Welche Option ist am geeignetsten? A) T-Shirt und Sandalen B) Warme wasserdichte Jacke und geschlossene Schuhe C) Shorts und Sonnenbrille. Gib nur A, B oder C aus."
"12","reasoning","TR","Hava 2°C ve yağmur yağıyor. Hangisini giymek en uygundur? A) Tişört ve sandalet B) Sıcak su geçirmez mont ve kapalı ayakkabı C) Şort ve güneş gözlüğü. Sadece A, B veya C yaz."
"13","factual","EN","What is the chemical formula for water? Output only the formula."
"13","factual","DE","Wie lautet die chemische Formel für Wasser? Gib nur die Formel aus."
"13","factual","TR","Suyun kimyasal formülü nedir? Sadece formülü yaz."
"14","factual","EN","In which year did World War II end? Output only the year."
"14","factual","DE","In welchem Jahr endete der Zweite Weltkrieg? Gib nur das Jahr aus."
"14","factual","TR","İkinci Dünya Savaşı hangi yılda sona erdi? Sadece yılı yaz."
"15","factual","EN","What is the capital city of Canada? Output only the city name."
"15","factual","DE","Was ist die Hauptstadt von Kanada? Gib nur den Städtenamen aus."
"15","factual","TR","Kanada'nın başkenti neresidir? Sadece şehir adını yaz."
"16","factual","EN","Who wrote the novel ""1984""? Output only the author's name."
"16","factual","DE","Wer schrieb den Roman „1984""? Gib nur den Namen des Autors aus."
"16","factual","TR","""1984"" romanını kim yazdı? Sadece yazarın adını yaz."
"17","creative","EN","Write exactly two sentences promoting teamwork in a workplace. Keep the tone professional. No bullet points."
"17","creative","DE","Schreibe genau zwei Sätze, die Teamarbeit am Arbeitsplatz bewerben. Professioneller Ton. Keine Aufzählungspunkte."
"17","creative","TR","İş yerinde takım çalışmasını teşvik eden tam olarak iki cümle yaz. Tonu profesyonel olsun. Madde işareti kullanma."
"18","creative","EN","Write exactly two sentences of ad copy for an eco-friendly coffee brand. Include one environmental benefit and one taste description. No bullet points."
"18","creative","DE","Schreibe genau zwei Werbesätze für eine umweltfreundliche Kaffeemarke. Nenne einen Umweltvorteil und eine Geschmacksbeschreibung. Keine Aufzählungspunkte."
"18","creative","TR","Çevre dostu bir kahve markası için tam olarak iki cümle reklam metni yaz. Bir çevresel fayda ve bir tat açıklaması ekle. Madde işareti kullanma."
"19","creative","EN","Write a slogan for an online education platform. It must be 6 to 8 words. Output only the slogan."
"19","creative","DE","Schreibe einen Slogan für eine Online-Bildungsplattform. Er muss aus 6 bis 8 Wörtern bestehen. Gib nur den Slogan aus."
"19","creative","TR","Bir çevrimiçi eğitim platformu için slogan yaz. 6 ile 8 kelime arasında olmalı. Sadece sloganı yaz."
"20","creative","EN","Give one sentence of advice to a student preparing for exams. The sentence must include a concrete time-management action (e.g., plan, schedule, time-block). Output only the sentence."
"20","creative","DE","Gib einen Satz Ratschlag für einen Studenten, der sich auf Prüfungen vorbereitet. Der Satz muss eine konkrete Zeitmanagement-Aktion enthalten (z.B. planen, Zeitblöcke erstellen). Gib nur den Satz aus."
"20","creative","TR","Sınavlara hazırlanan bir öğrenciye tek cümlelik tavsiye ver. Cümle somut bir zaman yönetimi eylemi içermeli (ör. planla, programla, zaman blokları oluştur). Sadece cümleyi yaz."
